Scribal Unit H-ID,Cataloguing,Scribe role,Function of Copying,Scribe Comments,PU Comments,Extent,Extent Comments,Text(s) comments,SU dating,Normalized century of production,Normalized terminus post quem,Normalized terminus ante quem,Dating Comments,Normalised script(s),Script Comments,Colophon presence,Colophon transcription,Colophon language,Colophon translation,Colophon comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cataloguing,Heurist,Institution country,manuscript,holding institution,Inventory number,Section,Scribe,scribe certainty,Production info,Comments,Collaboration type,collaboration_certainty,script type,Colophon,colophon transcription,Colophon Language,colophon translation,monastery,order,monastery certainty,Religious or secular,Country_prod,region_prod,City prod,Full Address,Latitude,Longitude,Library_date,century_prod,min_date,max_date,Scribe's age,support,watermark,watermark_shape,foliation,min_lines,max_lines,columns,signatures,catchwords,ruling_type,nb_quires,collation,Codicology Notes,leaf dimensions : height (mm),leaf dimensions : width (mm),size,justification : height (mm),justification : width (mm),TROPY,Digitised,Digitization link,Digitisation_state,IIIF,iiif manifest,Notice,Seen in person,Pictures taken,Pictures link,bibliography,Author,Title,genre,subgenre,textLang,Language comments,Multilingual,Dialect,Multidialectal
CAT,,Switzerland,"Aargau Cantonal Library, AG 2.38",Aargau Cantonal Library,AG 2.38,Full manuscript,"Sophie Schwarzmurerin, Hermetschwil",High,Colophon,"Formerly Dep. 001 Q 1
The manuscript is partly cited in the literature as ""Aarau, Kantonsbibl., Ms. Muri 215"".",Female scribe,High,,TRUE,f.279v: durch die ersamen und geistlichen frowen fro Sophyen Swartzmurerin closterfrow ze Hermanschwil,German,"f.279v: By the honorable and spiritual lady, Lady Sophie Swartzmurer, nun at the convent of Hermanswil.”",Hermetschwil monastery,Benedictine,High,R ,Switzerland,Aargau,Hermetschwil,Hermetschwil monastery Switzerland Hermetschwil ,47.3307554,8.3411019,1454,15,1/1/1454,12/31/1454,,Paper,,,285,29,32,1,,,,,,,215,145,360,160,95,,FALSE,,None,FALSE,,https://www.handschriftencensus.de/10781,FALSE,FALSE,,"Bd. I : Die Handschriften der Bibliotheken von Aarau, Appenzell und Basel, bearb. von B. M. von Scarpatetti unter Mitwirkung von P. Bloesch, M. Germann, C. Gilly, E. Gilomen-Schenkel, H.J. Gilomen, N. Meier, J. Vollmy. Zurich, 1977. 2 vol.
Wieland Schmidt, Die vierundzwanzig Alten Ottos von Passau (Palaestra 212), Leipzig 1938 (Nachdruck New York 1967) (ohne diese Hs.). [online]
Sigrid Krämer, Verbleib unbekannt. Angeblich verschollene und wiederaufgetauchte Handschriften (2. Folge), in: ZfdA 104 (1975), S. 251-257, hier S. 254, Anm. 16.
Beat Matthias von Scarpatetti, Katalog der datierten Handschriften in der Schweiz in lateinischer Schrift vom Anfang des Mittelalters bis 1550, Bd. 1: Die Handschriften der Bibliotheken von Aarau, Appenzell und Basel, Text- und Abbildungsband, Dietikon-Zürich 1977, Textband S. 7, Nr. 15.
Charlotte Bretscher-Gisiger und Rudolf Gamper, Katalog der mittelalterlichen Handschriften der Klöster Muri und Hermetschwil, Dietikon-Zürich 2005, S. 86f.und 34.",Otto von Passau,f.1r-279v = 'The 24 Elders'   ,,,German,,FALSE,High Alemannic,FALSE
TBC,,UK,"Aberdeen University, p.133, n.277",Aberdeen University,"p.133, n.277",,"Esther Inglis, Edinburgh",,,"par Esther Anglois
There are more manuscripts written by this scribe after 1600, cf.PXL_20241029_151037781.MP.jpg",,,,,,,,,,,,,,,   ,,,1600,16,1/1/1501,12/31/1600,,,,,,,,,,,,,,,,,0,,,,,,,,,,FALSE,FALSE,,"Saint-Benoît de Port-Valais (Abbey : Bouveret, Switzerland). Colophons de manuscrits occidentaux des origines au XVIe siècle. Vol. 2. Fribourg, Suisse, Editions universitaires, 1965. http://archive.org/details/colophonsdemanus0002sain.",,,,,TBC,,,,
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.16",Admont Stiftsbibliothek,Admont Ms.16,,"Irmingart, Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,second half of 12th century,12,1/1/1150,12/31/1199,,Parchment,FALSE,,342,40,40,2,,,,,,,305,95,400,,,,TRUE,https://manuscripta.at/diglit/AT1000-16/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-16/manifest.json,https://manuscripta.at/hs_detail.php?ID=25873,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont,Commentaries on 4 Books of Kings,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.16",Admont Stiftsbibliothek,Admont Ms.16,,"Nun-scribe A, Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,second half of 12th century,12,1/1/1150,12/31/1199,,Parchment,FALSE,,342,40,40,2,,,,,,,305,95,400,,,,TRUE,https://manuscripta.at/diglit/AT1000-16/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-16/manifest.json,https://manuscripta.at/hs_detail.php?ID=25873,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont,Commentaries on 4 Books of Kings,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.16",Admont Stiftsbibliothek,Admont Ms.16,,"Regilind, Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,second half of 12th century,12,1/1/1150,12/31/1199,,Parchment,FALSE,,342,40,40,2,,,,,,,305,95,400,,,,TRUE,https://manuscripta.at/diglit/AT1000-16/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-16/manifest.json,https://manuscripta.at/hs_detail.php?ID=25873,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont,Commentaries on 4 Books of Kings,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.17",Admont Stiftsbibliothek,Admont Ms.17,,"Irmingart, Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,Mid 12th century,12,1/1/1140,12/31/1160,,Parchment,FALSE,,221,37,37,2,,,,,,,400,273,673,,,,TRUE,https://manuscripta.at/diglit/AT1000-17/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-17/manifest.json,https://manuscripta.at/hs_detail.php?ID=25874,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont,Commentaries,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.17",Admont Stiftsbibliothek,Admont Ms.17,,"Nun-scribe H, Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,Mid 12th century,12,1/1/1140,12/31/1160,,Parchment,FALSE,,221,37,37,2,,,,,,,400,273,673,,,,TRUE,https://manuscripta.at/diglit/AT1000-17/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-17/manifest.json,https://manuscripta.at/hs_detail.php?ID=25874,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont,Commentaries,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.17",Admont Stiftsbibliothek,Admont Ms.17,,"Nun-scribe I(I), Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,Mid 12th century,12,1/1/1140,12/31/1160,,Parchment,FALSE,,221,37,37,2,,,,,,,400,273,673,,,,TRUE,https://manuscripta.at/diglit/AT1000-17/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-17/manifest.json,https://manuscripta.at/hs_detail.php?ID=25874,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont,Commentaries,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.17",Admont Stiftsbibliothek,Admont Ms.17,,"Regilind, Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,Mid 12th century,12,1/1/1140,12/31/1160,,Parchment,FALSE,,221,37,37,2,,,,,,,400,273,673,,,,TRUE,https://manuscripta.at/diglit/AT1000-17/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-17/manifest.json,https://manuscripta.at/hs_detail.php?ID=25874,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont,Commentaries,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.292",Admont Stiftsbibliothek,Admont Ms.292,Full manuscript,"Cunradus, Admont",High,Colophon,,Male scribe,High,,TRUE,"f.140v: Cum tibi verborum fructum quis colligis horum,
Hic ut aratoris vescens messorque satoris,
Ut sis scriptoris studii memor atque laboris,
Nomen et intendas te queso vicemque rependas,
Respondens horum quod origo versiculorum,
Ait fert querenti dubium dat scire volenti.
Dispicito quales sint litterule capitales
Unde cito nomen concurret tale per omen.
Sicut et a primo versu cernis in imo.
Gree d i •m iis hah s veu ras n” -0s rr es ad-vade rbua ss everas (= Chunradus)",Latin,"f.140v: When you, who gather the fruit of these words,
Feed here like the reaper and sower of the ploughman,
So that you may remember the diligence and work of the scribe,
I ask you, consider his name and repay him in turn.
The origin of these little verses, answering to those who ask,
Declares it to the seeker and gives knowledge to the willing.
Consider what kind of letters are capital,
From which a name will quickly appear as a sign,
Just as you see at the bottom of the first verse.
Gree d i •m iis hah s veu ras n” -0s rr es ad-vade rbua ss everas (= Chunradus)",Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,2nd half of the 12th century,12,1/1/1150,12/31/1199,,Parchment,FALSE,,140,28,28,2,,,,,,,260,180,440,180,130,,TRUE,https://manuscripta.at/diglit/AT1000-292/0004?sid=775c4de4fce0d866394e2cecd3bcbb0e,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-292/manifest.json,https://manuscripta.at/hs_detail.php?ID=26898,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Hugh of St. Victor,Commentary on the Hierarchy of Ps-Dionysis,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.58",Admont Stiftsbibliothek,Admont Ms.58,Full manuscript,Admont Nun-scribe A,Low,"Beach, 1996
Beach, 2004",,Female scribe,Low,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,12th century,12,1/1/1100,12/31/1199,,Parchment,FALSE,,176,30,30,1,,,,,,,350,240,590,240,155,,TRUE,https://manuscripta.at/diglit/AT1000-58/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-58/manifest.json,https://manuscripta.at/hs_detail.php?ID=25955,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Anonymous Admont School,Homilies for Feast Days,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.650",Admont Stiftsbibliothek,Admont Ms.650,,"Irmingart, Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,Mid 12th century,12,1/1/1140,12/31/1160,,Parchment,FALSE,,105,27,27,1,,,,,,,190,100,290,140,70,,TRUE,https://manuscripta.at/diglit/AT1000-650/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-650/manifest.json,https://manuscripta.at/hs_detail.php?ID=26457,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont and anonymous,Commentaries,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.650",Admont Stiftsbibliothek,Admont Ms.650,,"Nun-scribe A, Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,Mid 12th century,12,1/1/1140,12/31/1160,,Parchment,FALSE,,105,27,27,1,,,,,,,190,100,290,140,70,,TRUE,https://manuscripta.at/diglit/AT1000-650/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-650/manifest.json,https://manuscripta.at/hs_detail.php?ID=26457,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont and anonymous,Commentaries,,,Latin,,FALSE,,FALSE
CAT,,Austria,"Admont Stiftsbibliothek, Admont Ms.650",Admont Stiftsbibliothek,Admont Ms.650,,"Nun-scribe B, Admont",Medium,"Beach, 1996
Beach, 2004",,Female collaboration,Medium,,FALSE,,,,Admont,Benedictine,High,R ,Austria,Styria,Admont,Admont Austria Admont ,47.5729034,14.4614998,Mid 12th century,12,1/1/1140,12/31/1160,,Parchment,FALSE,,105,27,27,1,,,,,,,190,100,290,140,70,,TRUE,https://manuscripta.at/diglit/AT1000-650/0001,Full Colour,TRUE,https://manuscripta.at/diglit/iiif/AT1000-650/manifest.json,https://manuscripta.at/hs_detail.php?ID=26457,FALSE,FALSE,,"Beach, 1996
Beach, 2004",Irimbert of Admont and anonymous,Commentaries,,,Latin,,FALSE,,FALSE
