institution,latitude,longitude,count
Aargau Cantonal Library,47.3897229,8.0449932,1
Aberdeen University,57.1647761,-2.1014659,1
Admont Stiftsbibliothek,47.5746298,14.4630375,24
"Altenburg, Stiftsbibliothek",47.4227699,9.3769843,3
"Amsterdam, Universiteitsbibliotheek Amsterdam",52.3686498,4.8951112,5
"Aosta, Biblioteca del Seminario maggiore",45.7350508,7.3130948,1
"Appenzell, Pfarrei-Archiv",47.334932,9.406594,2
"Archivo de la Corona d’Aragón, Cancilleria",41.5976275,-0.9056623,5
"Arnhem, Openbare Bibliotheek",51.9851034,5.8987296,2
"Arras, Bibliothèque de la Ville",50.291002,2.777535,1
Augsburg,48.3705449,10.89779,1
"Augsburg, Staats- und Stadtbibliothek",48.3868848,10.9070502,1
"Augsburg, Universitätsbibliothek",48.3705449,10.89779,26
"Autun, Bibliothèque municipale",46.9497545,4.2994059,1
"Averbode, NA",51.0305467,4.977454,1
"Bad Wörishofen, Dominican Convent",48.0051291,10.5949358,1
"Baltimore, Walters Art Museum",39.296425,-76.6164985,1
"Bamberg, Bibliothek des Metropolitankapitels",49.8910153,10.8837878,1
"Bamberg, Staatsbibliothek",49.8917114,10.8827134,20
"Basel, Universitätsbibliothek",47.5596976,7.5811124,2
"Bergamo, Biblioteca Civica Angelo Mai",45.7044129,9.663238,1
"Berlin, Staatl. Museen - Kupferstichkabinett",52.5086122,13.3665444,2
"Berlin, Staatsbibliothek",52.5076064,13.3708061,46
"Besançon, bibliothèque municipale",47.2363453,6.0276724,1
"Bloomington, Indiana University",39.1682449,-86.5230073,1
Bologna,44.494887,11.3426163,1
"Bologna, Archivio Generale Arcivescovile",44.4962616,11.3439431,1
"Bologna, Monastero del Corpus Domini",44.494887,11.3426163,4
"Bornem, Abbaye Saint-Bernard",51.0939766,4.2256786,3
"Boulogne-sur-Mer, Bilbiothèque municipale",50.7250285,1.6121966,1
"Breslau, Dombibliothek (Biblioteka Kapitulna)",51.115786,17.0465041,2
"Breslau, Juedisch-theologisches Seminary II",51.1092948,17.0386019,1
"Breslau, Universitätsbibliothek",51.112087,17.050336,1
"Bruges, Bibliothèque publique",51.2084508,3.2250586,1
"Brussels, Bibliothèque royale Albert Ier",50.8477029,4.3572001,57
"Brussels, Bollandist Society",50.8477029,4.3572001,1
Budapest BN Szechenyi,47.497912,19.040235,1
"Burgos, Santa María la Real de Las Huelgas",42.3363587,-3.7201739,2
"Cambrai, Bibliothèque municipale",50.173521,3.2366603,2
Cambridge United Kingdom Gonville and Caius College,52.2056814,0.1178158,1
Cambridge University Library,52.2051088,0.1077233,3
"Chantilly, Bibliothèque et Archives du Château",49.19316,2.4687389,1
"Colmar, Bibliothèque des Dominicains",48.0786509,7.3565137,1
"Colmar, Bibliothèque municipale",48.0803183,7.3546052,3
"Cologne, Dombibliothek",50.937531,6.9602786,1
"Cologne, Erzbischöfliche Diözesan- und Dombibliothek",50.9446942,6.952196,12
"Cologne, Schnutgen-Museum",50.9348794,6.9512865,3
"Cologne, Stadtarchiv",50.9242973,6.9381661,5
"Cologne, StadtBibliothek",50.9370916,6.956616,1
