"Manuscript H-ID","Manuscript Record Title","Holding Institution H-ID","Holding Institution Record Title","Holding Institution Record Title","Call number","IIIF Manifest Link(s)"
15391,"Tübingen, Universitätsbibliothek, Ms. Md 456",24125,"Tübingen, Universitätsbibliothek","Tübingen, Universitätsbibliothek","Ms. Md 456",https://opendigi.ub.uni-tuebingen.de/opendigi/Md456/manifest
15394,"Überlingen, Leopold-Sophien-Bibliothek, Ms. 22",87,"Überlingen, Leopold-Sophien-Bibliothek","Überlingen, Leopold-Sophien-Bibliothek","Ms. 22",https://www.e-codices.unifr.ch/metadata/iiif/lsb-Ms0022/manifest.json
15415,"Bloomington, Indiana University, Ricketts 198",117,"Bloomington, Indiana University","Bloomington, Indiana University","Ricketts 198",https://iiif.archivelab.org/iiif/images_Ricketts198_40/manifest.json
15418,"Uppsala, Universitetsbibliotek, C 12",90,"Uppsala, Universitetsbibliotek","Uppsala, Universitetsbibliotek","C 12",https://www.manuscripta.se/iiif/100406/manifest.json
15423,"Utrecht, Bibliotheek der Rijksuniversiteit, 1025",91,"Utrecht, Bibliotheek der Rijksuniversiteit","Utrecht, Bibliotheek der Rijksuniversiteit",1025,https://objects.library.uu.nl/manifest/iiif/v3/1874-325712
15424,"Utrecht, Bibliotheek der Rijksuniversiteit, Ms. 1027",91,"Utrecht, Bibliotheek der Rijksuniversiteit","Utrecht, Bibliotheek der Rijksuniversiteit","Ms. 1027",https://objects.library.uu.nl/manifest/iiif/v3/20.500.14918-337597
15425,"Utrecht, Bibliotheek der Rijksuniversiteit, Ms. 1029",91,"Utrecht, Bibliotheek der Rijksuniversiteit","Utrecht, Bibliotheek der Rijksuniversiteit","Ms. 1029",https://objects.library.uu.nl/manifest/iiif/v3/20.500.14918-337500
15433,"Vatican, Biblioteca Apostolica Vaticana, Ms.Ross. 941",94,"Vatican, Biblioteca Apostolica Vaticana","Vatican, Biblioteca Apostolica Vaticana","Ms.Ross. 941",https://digi.vatlib.it/iiif/MSS_Ross.941/manifest.json
15434,"Vatican, Biblioteca Apostolica Vaticana, Reg. lat. 316",94,"Vatican, Biblioteca Apostolica Vaticana","Vatican, Biblioteca Apostolica Vaticana","Reg. lat. 316",https://digi.vatlib.it/iiif/MSS_Reg.lat.316/manifest.json
15436,"Vatican, Biblioteca Apostolica Vaticana, Vat. lat. 427 vol. 1",94,"Vatican, Biblioteca Apostolica Vaticana","Vatican, Biblioteca Apostolica Vaticana","Vat. lat. 427 vol. 1",https://digi.vatlib.it/iiif/MSS_Vat.lat.427.pt.1/manifest.json
15443,"Vienna, Österreichische Nationalbibliothek, cvp Ser. n. 3614",97,"Vienna, Österreichische Nationalbibliothek","Vienna, Österreichische Nationalbibliothek","cvp Ser. n. 3614",https://api.onb.ac.at/iiif/presentation/v3/manifest/131FC50D
15467,"Wil, Dominikarinnenkloster St. Katharina, Chronik (""Konventsbuch"")",106,"Wil, Dominikarinnenkloster St. Katharina","Wil, Dominikarinnenkloster St. Katharina","Chronik (""Konventsbuch"")",https://www.e-codices.unifr.ch/metadata/iiif/kaw-konventsbuch/manifest.json
15468,"Wil, Dominikarinnenkloster St. Katharina, M 1",106,"Wil, Dominikarinnenkloster St. Katharina","Wil, Dominikarinnenkloster St. Katharina","M 1",https://www.e-codices.unifr.ch/metadata/iiif/kaw-0001/manifest.json
15469,"Wil, Dominikarinnenkloster St. Katharina, M 13",106,"Wil, Dominikarinnenkloster St. Katharina","Wil, Dominikarinnenkloster St. Katharina","M 13",https://www.e-codices.unifr.ch/metadata/iiif/kaw-M0013/manifest.json
15471,"Wil, Dominikarinnenkloster St. Katharina, M 3",106,"Wil, Dominikarinnenkloster St. Katharina","Wil, Dominikarinnenkloster St. Katharina","M 3",https://www.e-codices.unifr.ch/metadata/iiif/kaw-M0003/manifest.json
15472,"Wil, Dominikarinnenkloster St. Katharina, M 32",106,"Wil, Dominikarinnenkloster St. Katharina","Wil, Dominikarinnenkloster St. Katharina","M 32",https://www.e-codices.unifr.ch/metadata/iiif/kaw-0032/manifest.json
15473,"Wil, Dominikarinnenkloster St. Katharina, M 41",106,"Wil, Dominikarinnenkloster St. Katharina","Wil, Dominikarinnenkloster St. Katharina","M 41",https://www.e-codices.unifr.ch/metadata/iiif/kaw-0041/manifest.json
15474,"Wil, Dominikarinnenkloster St. Katharina, No inventory number",106,"Wil, Dominikarinnenkloster St. Katharina","Wil, Dominikarinnenkloster St. Katharina","No inventory number",https://www.e-codices.unifr.ch/metadata/iiif/kaw-Urbar/manifest.json
15475,"Wil, Dominikarinnenkloster St. Katharina, Schwesternbuch",106,"Wil, Dominikarinnenkloster St. Katharina","Wil, Dominikarinnenkloster St. Katharina",Schwesternbuch,https://www.e-codices.unifr.ch/metadata/iiif/kaw-SrBuch/manifest.json
15494,"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 204 Helmst.",107,"Wolfenbüttel, Herzog August Bibliothek","Wolfenbüttel, Herzog August Bibliothek","Cod. Guelf. 204 Helmst.",https://iiif.hab.de/object/mss_204-helmst/manifest?manifest=https://iiif.hab.de/object/mss_204-helmst/manifest
15498,"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 300.1 Extrav.",107,"Wolfenbüttel, Herzog August Bibliothek","Wolfenbüttel, Herzog August Bibliothek","Cod. Guelf. 300.1 Extrav.",https://iiif.hab.de/object/mss_300-1-extrav/manifest?manifest=https://iiif.hab.de/object/mss_300-1-extrav/manifest
15503,"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 502 Helmst.",107,"Wolfenbüttel, Herzog August Bibliothek","Wolfenbüttel, Herzog August Bibliothek","Cod. Guelf. 502 Helmst.",https://iiif.hab.de/object/mss_502-helmst/manifest
15504,"Boulogne-sur-Mer, Bibliothèque municipale, Ms.74 (82)",121,"Boulogne-sur-Mer, Bibliothèque municipale","Boulogne-sur-Mer, Bibliothèque municipale","Ms.74 (82)",https://api.irht.cnrs.fr/ark:/63955/fjuagx1x69n3/manifest.json
15519,"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 943 Helmst.",107,"Wolfenbüttel, Herzog August Bibliothek","Wolfenbüttel, Herzog August Bibliothek","Cod. Guelf. 943 Helmst.",https://iiif.hab.de/object/mss_943-helmst/manifest.json
15521,"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf.Novi 797",107,"Wolfenbüttel, Herzog August Bibliothek","Wolfenbüttel, Herzog August Bibliothek","Cod. Guelf.Novi 797",https://iiif.hab.de/object/mss_797-novi/manifest.json
15522,"Würzburg Universitätsbibliothek, M.ch.f.4",108,"Würzburg Universitätsbibliothek","Würzburg Universitätsbibliothek",M.ch.f.4,https://www.franconica.online/o/iiif/2/97185/manifest
15531,"Zurich, Zentralbibliothek, Ms. Rh. 159",24124,"Zurich, Zentralbibliothek","Zurich, Zentralbibliothek","Ms. Rh. 159",https://www.e-manuscripta.ch/i3f/v20/1380075/manifest
15532,"Breslau, Universitätsbibliothek, Ms.IF 508a",125,"Breslau, Universitätsbibliothek","Breslau, Universitätsbibliothek","Ms.IF 508a",https://glam.uni.wroc.pl/iiif/RKP_I_F_508_A_76558/manifest
15533,"Bruges, Bibliothèque publique, Ms. 321",126,"Bruges, Bibliothèque publique","Bruges, Bibliothèque publique","Ms. 321",https://sharedcanvas.be/IIIF/manifests/B_OB_MS321
15596,"Cambrai, Bibliothèque municipale, Ms.300",131,"Cambrai, Bibliothèque municipale","Cambrai, Bibliothèque municipale",Ms.300,https://bvmm.irht.cnrs.fr/iiif/26441/manifest
15601,"Chantilly, Bibliothèque et Archives du Château, Ms. 617",135,"Chantilly, Bibliothèque et Archives du Château","Chantilly, Bibliothèque et Archives du Château","Ms. 617",https://api.irht.cnrs.fr/ark:/63955/fdpotvgdjyxi/manifest.json
15603,"Colmar, Bibliothèque des Dominicains, Ms. 717 II",22343,"Colmar, Bibliothèque des Dominicains","Colmar, Bibliothèque des Dominicains","Ms. 717 II",https://api.irht.cnrs.fr/ark:/63955/fvnr1khfsxi7/manifest.json
15609,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek, Ms. 63",189,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Ms. 63",https://digital.dombibliothek-koeln.de/hs/i3f/v20/163389/manifest
15610,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek, Ms. 65",189,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Ms. 65",https://digital.dombibliothek-koeln.de/hs/i3f/v20/276608/manifest
15611,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek, Ms. 67",189,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Ms. 67",https://digital.dombibliothek-koeln.de/hs/i3f/v20/221601/manifest
15612,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek, Ms. 69",189,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Ms. 69",https://digital.dombibliothek-koeln.de/hs/i3f/v20/223732/manifest
15636,"Arras, Bibliothèque de la Ville, 742",23,"Arras, Bibliothèque de la Ville","Arras, Bibliothèque de la Ville",742,https://api.irht.cnrs.fr/ark:/63955/fr1dgmfio4zw/manifest.json
15639,"Deventer, Athenaeumbibliotheek, 10 T 3 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","10 T 3 KL",https://athenaeumcollecties.nl/collecties/topstukken/manifest/2bb2f476-2986-b142-4f07-67d5969f1a92
15640,"Deventer, Athenaeumbibliotheek, 10 V 2 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","10 V 2 KL",https://athenaeumcollecties.nl/collecties/gedigitaliseerde-collecties/manifest/c54bb995-3c88-1ca1-98ad-34387d1c0b7b
