chunk_id,manuscript_title,country,context,text
pu_22450,"Aargau Cantonal Library, AG 2.38; Full manuscript",Switzerland,"Manuscript: Aargau Cantonal Library, AG 2.38; Full manuscript | Country: Switzerland | City: Hermetschwil | Region: Aargau | Dating: 1454 | Century of production: 15 | Material: paper | Colophon language: German (DE, GER) | Extent: Full manuscript | Number of folios: 285 | Monasteries: Hermetschwil Abbey, Cistercian, Hermetschwil-Staffeln, Switzerland | Scribes: Georg Tudel von Giengen, Male (Male); Sophie Schwarzmurerin, Hermetschwil, Female (Female, Religious) | Texts copied: Otto von Passau, Male, The Twenty-Four Elders, German (DE, GER) [Religious Texts]; Georg Tudel von Giengen, Male, Sermons, German (DE, GER) [Religious Texts]","Original: durch die ersamen und geistlichen frowen fro Sophyen Swartzmurerin closterfrow ze Hermanschwil Translation: By the honorable and spiritual lady, Lady Sophie Swartzmurer, nun at the convent of Hermanswil.”"
pu_22851,"Admont Stiftsbibliothek, Admont Ms.292; Full manuscript",Austria,"Manuscript: Admont Stiftsbibliothek, Admont Ms.292; Full manuscript | Country: Austria | City: Admont | Region: Styria | Dating: 2nd half of the 12th century | Century of production: 12 | Material: parchment | Colophon language: Latin (LA, LAT) | Extent: Full manuscript | Number of folios: 140 | Decoration presence: TRUE | Musical notation presence: FALSE | Monasteries: Admont Abbey, Benedictine, Admont, Austria, 1074 | Scribes: Cunradus, Admont, Male (Male, Religious); Hugh of Saint Victor, Male (Male) | Texts copied: Hugh of Saint Victor, Male, Commentary on the Celestial Hierarchy of Pseudo-Dionysius, Latin (LA, LAT) [Religious Texts]","Original: Cum tibi verborum fructum quis colligis horum, Hic ut aratoris vescens messorque satoris, Ut sis scriptoris studii memor atque laboris, Nomen et intendas te queso vicemque rependas, Respondens horum quod origo versiculorum, Ait fert querenti dubium dat scire volenti. Dispicito quales sint litterule capitales Unde cito nomen concurret tale per omen. Sicut et a primo versu cernis in imo. Gree d i •m iis hah s veu ras n” -0s rr es ad-vade rbua ss everas (= Chunradus) Translation: When you, who gather the fruit of these words, Feed here like the reaper and sower of the ploughman, So that you may remember the diligence and work of the scribe, I ask you, consider his name and repay him in turn. The origin of these little verses, answering to those who ask, Declares it to the seeker and gives knowledge to the willing. Consider what kind of letters are capital, From which a name will quickly appear as a sign, Just as you see at the bottom of the first verse. Gree d i •m iis hah s veu ras n” -0s rr es ad-vade rbua ss everas (= Chunradus)"
pu_25787,"Altenburg, Stiftsbibliothek, Ms. AB 15 B 16; f. 1-89",Austria,"Manuscript: Altenburg, Stiftsbibliothek, Ms. AB 15 B 16; f. 1-89 | Country: Austria | City: Altenburg | Region: Lower Austria | Dating: 23 August 1470 | Century of production: 15 | Material: paper | Colophon language: German (DE, GER) | Extent: f. 1-89 | Number of folios: 87 | Musical notation presence: FALSE | Monasteries: Altenberg, Premonstratensian, Aldenburg, Germany, 1179-
1802 | Scribes: Raymond of Capua, Male (Male); Sister Barbara, Altenburg, Female (Female, Religious) | Texts copied: Raymond of Capua, Male, Life of Saint Catherine of Siena, Latin (LA, LAT) [Religious Texts]","Original: Diez puech von sand Katherina de Senis ist volentet warden an dem abentt des heilige11 xij poften sa11d Bartolameus in dem lxx iar [23. Aug. 1470] von swester Barbara die zeit schulmaisterin., Margaretha Preiss [swester Margareta Preissin zu Pernegk in dem kloster vnder der geharsam der erwierdigen [...] frawn vnd mueter Ludmilla priorin] Translation: Margaretha Preiss [Sister Margaretha Preiss of Pernegg in the convent under the obedience of the venerable lady and mother Ludmilla, prioress]., This book of Saint Catherine of Siena was completed on the evening of the holy apostle Saint Bartholomew, in the 70th year [23rd of August, 1470], by Sister Barbara, at that time schoolmistress."
pu_24904,"Amsterdam, Universiteitsbibliotheek Amsterdam, 1 G 1; Full manuscript",Netherlands,"Manuscript: Amsterdam, Universiteitsbibliotheek Amsterdam, 1 G 1; Full manuscript | Country: Netherlands | City: Amsterdam | Region: Amstelland | Dating: Second half of the 15th century | Century of production: 15 | Material: paper | Colophon language: Dutch (NL, DUTENG) | Extent: Full manuscript | Number of folios: 107 | Decoration presence: FALSE | Musical notation presence: FALSE | Monasteries: Canonesses Regular of St. Mary Magdalene (Op het Spui), Augustinian, Amsterdam, Netherlands | Scribes: Jordan of Quedlinburg, Male (Male); Dieuwer Dirksdr, Amsterdam, Female (Female, Religious) | Texts copied: Jordan of Quedlinburg, Male, Meditations on the Passion of Christ, Latin (LA, LAT) [Religious Texts]","Original: Dit boec hevet ghescreven suster diewe dircx dochter bidt voer die siele"", waaraan door andere hand toegevoegd ""ende het hoert sinte maria magdalenen in amsterdam woenende opt spoy Translation: This book was written by Sister Dieuwe, Dirck's daughter, pray for her soul,"" to which another hand has added, ""and it belongs to St. Mary Magdalene in Amsterdam, residing on the Spui."
pu_34266,"Amsterdam, Universiteitsbibliotheek Amsterdam, I F 14; Full manuscript",Netherlands,"Manuscript: Amsterdam, Universiteitsbibliotheek Amsterdam, I F 14; Full manuscript | Country: Netherlands | City: Hoorn | Dating: circa 1470 | Century of production: 15 | Material: paper | Colophon language: Dutch (NL, DUTENG) | Extent: Full manuscript | Number of folios: 230 | Decoration presence: TRUE | Musical notation presence: FALSE | Monasteries: Tertiary sisters of Sint Maria in Hoorn, Franciscan, Hoorn, Netherlands | Scribes: Ms. Amsterdam, Universiteitsbibliotheek Amsterdam, I F 14, Unidentified hand 3, Female (Female, Religious); Ms. Amsterdam, Universiteitsbibliotheek Amsterdam, I F 14, Unidentified hand 4, Female (Female, Religious); Lijsbeth IJsbrantsdr van Wydenes, Female (Female); Ms. Amsterdam, Universiteitsbibliotheek Amsterdam, I F 14, Unidentified hand 1, Female (Female, Religious); Ms. Amsterdam, Universiteitsbibliotheek Amsterdam, I F 14, Unidentified hand 2, Female (Female, Religious); Anonymous, TBC (TBC, Religious) | Texts copied: Anonymous, TBC, Prayer Book [Religious Texts]","Original: Lijsbeth IJsbrants dochter van Wydenes moder van sinte Marien Translation: Lijsbeth, Ysbrant’s daughter from Wydenes, [a] Mother of Saint Mary."
pu_24914,"Amsterdam, Universiteitsbibliotheek Amsterdam, I G 12; Full manuscript",Netherlands,"Manuscript: Amsterdam, Universiteitsbibliotheek Amsterdam, I G 12; Full manuscript | Country: Netherlands | City: Maastricht | Region: Limburg | Dating: 1498 | Century of production: 15 | Material: paper | Colophon language: German (DE, GER) | Extent: Full manuscript | Number of folios: 328 | Decoration presence: TRUE | Musical notation presence: FALSE | Monasteries: Convent of the Tertiaries of St Andreas & St Barbara (Maagdendries), Franciscan, Maastricht, Netherlands | Scribes: Ms. Amsterdam I G 12 Unidentified hand A, Maastricht, Female (Female, Religious); Katrijn van Rade, Maastricht, Female (Female, Religious)",Original: Bidt vor die schrivers dattem got ewich leven geve na geeindet op sce gregorius dach int jaer van xcviii Translation: Pray for the scribes that God may grant them eternal life after finishing on the day of Saint Gregory in the year of 1398.
pu_22813,"Amsterdam, Universiteitsbibliotheek Amsterdam, XI H 16; Full manuscript",Netherlands,"Manuscript: Amsterdam, Universiteitsbibliotheek Amsterdam, XI H 16; Full manuscript | Country: Netherlands | City: Salland, Twente, Guelders (Cleves) | Dating: 1509 | Century of production: 16 | Material: parchment and paper | Colophon language: Dutch (NL, DUTENG) | Extent: Full manuscript | Number of folios: 248 | Decoration presence: TRUE | Musical notation presence: FALSE | Scribes: Gretgen Smytz, Salland, Female (Female); Anonymous, TBC (TBC, Religious) | Texts copied: Anonymous, TBC, Life of Saint Anna [Religious Texts]","Original: dyt boech is geeyndet int iaer ons heren xv ind ix op den sondach nae sancte peter ind paulus dach der heiliger apostelen gode zo eeren ind synre liever moder ind der alre heilichster moder sancta Anna Ind alle die gene die dys boechs gebruchen sollen gedencken Der schyrverschen myt eynen pater noster ind ave maria der heiliger moder sancte Annen zo eeren dat sy ur wil erwerven gracie ind genade in dieser tzijt ind nae deser tzijt de ewige vroude AMEN. Ur naem is suster gretgen smytz. Translation: This book is finished in the year of our Lord 1519 on the Sunday after the day of Saint Peter and Paul, the holy apostles, to honor God and His beloved mother and the most holy mother, Saint Anne. And all those who shall use this book should remember the writer with a Our Father and Hail Mary to honor the holy mother Saint Anne so that they may obtain her grace and mercy in this time and after this time, eternal joy. Amen. Her name is Sister Gretgen Smytz."
pu_24925,"Amsterdam, Universiteitsbibliotheek Amsterdam, XV E 21; Full manuscript",Netherlands,"Manuscript: Amsterdam, Universiteitsbibliotheek Amsterdam, XV E 21; Full manuscript | Country: Netherlands | City: Naarden | Region: Gool | Dating: 1482 | Century of production: 15 | Material: paper | Colophon language: Dutch (NL, DUTENG) | Extent: Full manuscript | Number of folios: 5 | Musical notation presence: FALSE | Scribes: Mouwersdochter, Naarden, Female (Female, Religious)","Original: Item dit boec hoert toe Fye anssen dochter woenende tot amsterledam totten elf dus ent maechden Bidt Bidt voer di ghene die hier een arm bezorghester of gheweest heeft om gods willen Suster mouwers dochter woenende te naerden lot sancta marien int cloest Translation: This book belongs to Fye Anssen's daughter residing in Amsterdam at the Eleven Virgins. Pray for those who have been a poor caretaker or attendant here, for God's sake. Sister Mouwers' daughter residing near the lottery at St. Mary's in the convent."
pu_24936,"Aosta, Biblioteca del Seminario maggiore, Ms. 265; Full manuscript",France,"Manuscript: Aosta, Biblioteca del Seminario maggiore, Ms. 265; Full manuscript | Country: France | Dating: 1486-1486 | Century of production: 15 | Material: paper | Colophon language: French (FR, FRE) | Extent: Full manuscript | Number of folios: 250 | Decoration presence: TRUE | Musical notation presence: FALSE | Scribes: Bernardine Dunant, Female (Female); Jean Gerson, Male (Male) | Texts copied: Jean Gerson, Male, Sermons, French (FR, FRE) [Religious Texts]","Original: Pries Nostre Seigneur, si vous plaîs, pour la povre seur Bernardine Dunant, qui a escript ce livre l’an de grace mille CCCC LXXXVI. Deo gracias. Translation: Pray to Our Lord, if you please, for the poor sister Bernardine Dunant, who wrote this book in the year of grace 1486. Thanks be to God."
pu_24947,"Appenzell, Pfarrei-Archiv, Ms. ohne Signatur; Full manuscript",Germany,"Manuscript: Appenzell, Pfarrei-Archiv, Ms. ohne Signatur; Full manuscript | Country: Germany | City: Nuremberg | Dating: 23 September 1471 | Century of production: 15 | Material: paper | Colophon language: German (DE, GER) | Extent: Full manuscript | Number of folios: 295 | Musical notation presence: FALSE | Scribes: Endlen von Nurmberg, Female (Female); Anonymous, TBC (TBC, Religious) | Texts copied: Anonymous, TBC, Lives of the Saints [Religious Texts]","Original: On Endlen von Nurmberg ain vnwirdigs swesterlin [von radiert] sant franciscen Ordens Translation: By Endlen of Nuremberg, an unworthy little sister [erased] of the Order of Saint Francis"
